,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
120,2010-07-05,36.50111111,-120.38888888,1.0,B,Miscellaneous
121,2010-07-06,36.725,-119.57,1.0,B,Miscellaneous
122,2010-07-06,36.69194444,-119.565,1.0,B,Miscellaneous
123,2010-07-06,36.59,-119.46888888,0.1,A,Miscellaneous
124,2010-07-06,36.66305555,-119.8,1.0,B,Debris Burning
125,2010-07-07,36.725,-119.51111111,1.0,B,Miscellaneous
126,2010-07-07,36.42111111,-119.79805555,1.0,B,Smoking
127,2010-07-08,36.21,-120.08611111,3.0,B,Miscellaneous
128,2010-07-08,36.92305555,-119.73305555,1.0,B,Miscellaneous
129,2010-07-08,36.83694444,-119.55611111,3.0,B,Equipment Use
130,2010-07-09,36.95388888,-120.62805555,1.0,B,Miscellaneous
131,2010-07-17,36.66888888,-119.44194444,0.3,B,Miscellaneous
132,2010-07-18,36.63305555,-119.40388888,1.0,B,Debris Burning
133,2010-07-19,36.73111111,-119.47111111,1.0,B,Miscellaneous
134,2010-07-19,36.67805555,-119.735,1.0,B,Miscellaneous
135,2010-07-19,36.73111111,-119.47111111,1.0,B,Miscellaneous
136,2010-07-21,36.255,-120.10388888,1.0,B,Miscellaneous
137,2010-07-23,36.765,-120.38694444,1.0,B,Debris Burning
138,2010-07-23,36.72194444,-119.55611111,1.0,B,Arson
139,2010-07-24,36.54694444,-119.78611111,0.3,B,Miscellaneous
140,2010-07-24,36.68305555,-119.38388888,1.0,B,Miscellaneous
141,2010-07-25,36.59,-119.46694444,0.3,B,Miscellaneous
142,2010-07-25,36.71888888,-119.72694444,1.0,B,Arson
143,2010-08-06,36.18,-120.37305555,0.5,B,Miscellaneous
144,2010-08-09,36.10111111,-120.26305555,0.1,A,Miscellaneous
145,2010-08-09,36.67805555,-119.565,3.0,B,Miscellaneous
146,2010-08-10,36.83194444,-119.60194444,1.0,B,Equipment Use
147,2010-08-12,36.66194444,-119.43,1.0,B,Miscellaneous
148,2010-08-12,36.675,-119.40305555,1.0,B,Debris Burning
149,2010-08-12,36.63388888,-119.78611111,1.0,B,Miscellaneous
150,2010-08-14,36.73694444,-119.66111111,0.1,A,Miscellaneous
151,2010-08-15,36.74888888,-120.38694444,1.0,B,Miscellaneous
152,2010-08-15,36.765,-120.38388888,1.0,B,Miscellaneous
153,2010-08-17,36.77888888,-119.58305555,1.0,B,Debris Burning
154,2010-08-22,36.60305555,-120.38888888,1.0,B,Miscellaneous
155,2010-08-23,36.77805555,-120.56694444,1.0,B,Smoking
