DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
9/30/2010,36.595,-119.8538889,1,B,Debris Burning
9/30/2010,36.74805555,-119.655,0.1,A,Miscellaneous
10/2/2010,36.63305555,-119.7269444,1,B,Debris Burning
10/3/2010,36.69888888,-119.8811111,1,B,Miscellaneous
10/3/2010,36.56888888,-119.59,1,B,Debris Burning
10/4/2010,36.91305555,-120.55,1,B,Debris Burning
11/3/2010,36.57611111,-119.5880556,1,B,Miscellaneous
11/17/2010,36.64,-120.6211111,1,B,Miscellaneous
11/17/2010,36.60388888,-119.4019444,0.2,A,Debris Burning
11/28/2010,36.64,-120.6211111,0.3,B,Debris Burning
1/2/2010,37.285,-120.4980556,0.1,A,Debris Burning
1/9/2010,37.49194444,-120.7469444,1,B,Miscellaneous
1/13/2010,37.335,-120.875,1,B,Miscellaneous
4/16/2010,37.06888888,-120.31,0.2,A,Debris Burning
5/1/2010,37.38305555,-120.7088889,0.1,A,Miscellaneous
5/2/2010,37.29694444,-121.0219444,1,B,Miscellaneous
5/6/2010,36.92111111,-120.0180556,0.5,B,Miscellaneous
5/7/2010,36.98111111,-120.645,0.5,B,Miscellaneous
5/8/2010,36.88,-120.445,1.5,B,Miscellaneous
5/8/2010,37.39611111,-120.7961111,0.1,A,Miscellaneous
5/8/2010,37.01111111,-120.1111111,1,B,Debris Burning
5/9/2010,36.98611111,-120.645,0.5,B,Miscellaneous
5/9/2010,36.985,-120.645,0.5,B,Miscellaneous
5/10/2010,36.88,-119.9769444,1,B,Miscellaneous
5/20/2010,37.05194444,-120.5719444,0.2,A,Miscellaneous
5/22/2010,36.99305555,-120.7080556,1,B,Miscellaneous
5/22/2010,37.32388888,-120.7311111,1,B,Debris Burning
5/23/2010,37.295,-120.325,0.5,B,Miscellaneous
5/23/2010,37.075,-120.8761111,0.1,A,Miscellaneous
6/1/2010,37.36305555,-120.5769444,0.3,B,Miscellaneous
6/1/2010,37.05694444,-120.9688889,0.3,B,Miscellaneous
6/2/2010,37.38888888,-120.6188889,0.1,A,Miscellaneous
6/2/2010,37.01805555,-120.175,2,B,Miscellaneous
6/2/2010,37.06888888,-120.5280556,0.1,A,Miscellaneous
6/3/2010,37.1,-120.8480556,0.3,B,Miscellaneous
6/3/2010,37.38888888,-120.6188889,0.3,B,Miscellaneous
6/4/2010,37.36305555,-120.5769444,0.1,A,Miscellaneous
6/9/2010,37.285,-120.4838889,0.1,A,Miscellaneous
6/9/2010,37.40388888,-120.7480556,0.2,A,Miscellaneous
6/9/2010,37.185,-120.4369444,1,B,Debris Burning
6/10/2010,36.97111111,-120.0561111,0.2,A,Miscellaneous
6/10/2010,36.98694444,-120.6388889,1,B,Miscellaneous
6/10/2010,37.165,-121.045,4,B,Debris Burning
6/11/2010,37.50305555,-120.41,1600,F,Miscellaneous
3/8/2010,37.42694444,-120.895,0.1,A,Miscellaneous
3/11/2010,36.96694444,-120.645,1,B,Miscellaneous
3/14/2010,37.11305555,-120.4919444,1,B,Miscellaneous
3/15/2010,37.08388888,-120.3111111,0.1,A,Miscellaneous
3/25/2010,37.39694444,-120.6319444,1,B,Miscellaneous
3/25/2010,37.22888888,-120.3838889,0.5,B,Miscellaneous
4/5/2010,37.17111111,-120.3130556,0.1,A,Miscellaneous
4/9/2010,37.185,-120.3830556,0.3,B,Debris Burning
5/13/2010,36.98694444,-120.0738889,0.5,B,Miscellaneous
5/13/2010,36.98888888,-120.0288889,0.1,A,Miscellaneous
5/13/2010,36.975,-120.06,0.5,B,Miscellaneous
5/13/2010,36.96888888,-120.0680556,1,B,Miscellaneous
5/15/2010,37.05111111,-120.6361111,0.1,A,Miscellaneous
5/16/2010,36.96805555,-120.0680556,0.1,A,Miscellaneous
5/16/2010,36.97694444,-120.0719444,4,B,Miscellaneous
5/16/2010,37.05694444,-120.9538889,1,B,Miscellaneous
5/18/2010,37.38888888,-120.6219444,0.5,B,Miscellaneous
5/24/2010,37.11388888,-120.3288889,0.1,A,Miscellaneous
5/24/2010,37.31694444,-120.7338889,0.1,A,Miscellaneous
5/25/2010,37.36305555,-120.5769444,1,B,Miscellaneous
5/25/2010,37.42888888,-120.6130556,1,B,Debris Burning
5/28/2010,37.39111111,-120.6219444,0.2,A,Miscellaneous
5/29/2010,37.34611111,-120.5219444,0.3,B,Miscellaneous
5/29/2010,36.93305555,-119.8969444,0.1,A,Miscellaneous
5/30/2010,37.005,-120.085,1,B,Miscellaneous
5/31/2010,37.23305555,-120.2519444,2,B,Debris Burning
6/6/2010,36.98388888,-120.0769444,2,B,Miscellaneous
6/6/2010,37.14611111,-120.825,1,B,Miscellaneous
6/6/2010,37.075,-120.8761111,0.3,B,Miscellaneous
6/6/2010,37.29305555,-120.325,1,B,Miscellaneous
6/6/2010,37.01111111,-120.1288889,30,C,Miscellaneous
6/6/2010,37.34611111,-120.5061111,0.3,B,Miscellaneous
6/6/2010,37.01805555,-120.1288889,3,B,Miscellaneous
6/11/2010,37.39694444,-120.4611111,0.5,B,Miscellaneous
6/11/2010,37.18805555,-121.0638889,6,B,Miscellaneous
6/11/2010,37.08305555,-120.4011111,0.2,A,Miscellaneous
6/11/2010,36.98805555,-120.6361111,1,B,Miscellaneous
6/11/2010,37.38611111,-120.7230556,2.5,B,Miscellaneous
6/11/2010,37.46611111,-120.4961111,0.1,A,Miscellaneous
6/11/2010,37.31,-120.5119444,0.1,A,Miscellaneous
6/11/2010,36.93111111,-119.8938889,0.3,B,Miscellaneous
6/12/2010,36.99611111,-119.8938889,0.1,A,Miscellaneous
6/12/2010,37.38194444,-120.6219444,0.1,A,Miscellaneous
6/13/2010,36.96305555,-120.65,1,B,Miscellaneous
6/13/2010,37.01805555,-120.1288889,0.3,B,Miscellaneous
6/13/2010,37.38805555,-120.72,0.2,A,Miscellaneous
6/13/2010,37.39694444,-120.6311111,0.2,A,Miscellaneous
6/15/2010,37.08305555,-120.3830556,1,B,Miscellaneous
6/15/2010,37.04,-120.1561111,0.3,B,Miscellaneous
6/15/2010,37.17111111,-120.3130556,0.1,A,Miscellaneous
6/15/2010,37.32,-120.5388889,1,B,Miscellaneous
6/16/2010,36.98,-120.07,0.2,A,Miscellaneous
6/16/2010,37.08388888,-120.4369444,0.5,B,Miscellaneous
6/16/2010,36.98305555,-120.06,0.1,A,Miscellaneous
6/16/2010,37.28388888,-120.47,5,B,Miscellaneous
6/16/2010,36.98694444,-120.0738889,1,B,Miscellaneous
6/17/2010,37.37388888,-120.6819444,0.3,B,Miscellaneous
6/17/2010,36.98888888,-120.0288889,2,B,Miscellaneous
6/21/2010,37.36305555,-120.5769444,0.1,A,Miscellaneous
6/22/2010,37.39111111,-120.4680556,3,B,Miscellaneous
6/22/2010,37.38305555,-120.6138889,0.1,A,Miscellaneous
6/22/2010,37.05388888,-120.9669444,1,B,Miscellaneous
6/23/2010,37.43388888,-120.675,1,B,Miscellaneous
6/24/2010,37.01111111,-119.7611111,0.3,B,Miscellaneous
6/24/2010,37.05388888,-120.5538889,4,B,Miscellaneous
6/25/2010,37.38888888,-120.595,0.3,B,Miscellaneous
