,Unnamed: 0,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
168,2036,2013-07-19 00:00:00,40.012233,-122.458233,0.1,A,Missing/Undefined
169,2040,2013-07-19 00:00:00,38.45855,-120.484683,0.1,A,Debris Burning
170,2041,2013-07-02 00:00:00,37.8371,-120.504533,0.1,A,Missing/Undefined
171,2045,2013-07-22 00:00:00,38.830533,-122.900467,0.1,A,Miscellaneous
172,2047,2013-07-22 00:00:00,36.431067,-119.7309,1.0,B,Miscellaneous
173,2048,2013-07-03 00:00:00,36.6408,-119.5295,1.0,B,Miscellaneous
174,2049,2013-07-04 00:00:00,40.108,-123.795667,1.0,B,Missing/Undefined
175,2050,2013-07-30 00:00:00,40.905833,-124.0395,1.0,B,Missing/Undefined
176,2051,2013-07-06 00:00:00,41.47978300000001,-120.724167,1.0,B,Missing/Undefined
177,2056,2013-07-05 00:00:00,36.922933,-119.92155,5.0,B,Missing/Undefined
178,2057,2013-07-14 00:00:00,37.05448300000001,-120.292567,14.0,C,Miscellaneous
179,2061,2013-07-19 00:00:00,37.401717,-120.01825,1.0,B,Missing/Undefined
180,2063,2013-07-08 00:00:00,34.190517,-117.424933,1.0,B,Missing/Undefined
181,2067,2013-07-15 00:00:00,39.2381,-121.1315,0.05,A,Miscellaneous
182,2071,2013-07-02 00:00:00,38.902433,-121.200783,0.05,A,Miscellaneous
183,2073,2013-07-29 00:00:00,37.0433,-121.52385,0.05,A,Miscellaneous
184,2079,2013-07-04 00:00:00,38.906933,-123.1565,3.8,B,Miscellaneous
185,2081,2013-07-24 00:00:00,37.054567,-120.437233,0.25,A,Missing/Undefined
186,2086,2013-07-03 00:00:00,35.31708300000001,-120.621017,0.2,A,Missing/Undefined
187,2087,2013-07-31 00:00:00,39.87615,-121.608283,0.2,A,Missing/Undefined
188,2093,2013-07-27 00:00:00,37.821017,-120.158767,0.19,A,Miscellaneous
189,2096,2013-07-03 00:00:00,38.5017,-122.198367,0.16,A,Miscellaneous
190,2103,2013-07-06 00:00:00,38.902917,-120.851233,0.1,A,Missing/Undefined
191,2104,2013-07-10 00:00:00,33.963533,-116.4951,0.1,A,Missing/Undefined
192,2105,2013-07-05 00:00:00,39.959933,-122.178917,0.1,A,Missing/Undefined
193,2107,2013-07-14 00:00:00,33.779317,-117.236917,10.0,C,Missing/Undefined
194,2108,2013-07-13 00:00:00,38.704367,-123.031733,10.0,C,Missing/Undefined
195,2110,2013-07-31 00:00:00,36.865983,-120.381717,10.0,C,Miscellaneous
196,2111,2013-07-01 00:00:00,37.118,-119.932283,9.5,B,Missing/Undefined
197,2112,2013-07-09 00:00:00,35.523933,-120.65895,9.4,B,Missing/Undefined
198,2114,2013-07-16 00:00:00,33.557733,-117.11705,8.3,B,Missing/Undefined
199,2115,2013-07-17 00:00:00,33.520083,-117.0279,8.25,B,Debris Burning
200,2116,2013-07-13 00:00:00,37.64375,-120.589983,8.0,B,Missing/Undefined
201,2117,2013-07-06 00:00:00,39.19305,-121.419717,8.0,B,Missing/Undefined
202,2118,2013-07-22 00:00:00,38.292617,-121.171967,6.7,B,Missing/Undefined
203,2120,2013-07-16 00:00:00,38.474733,-121.1064,6.5,B,Miscellaneous
204,2121,2013-07-22 00:00:00,36.936317,-120.074,1.0,B,Miscellaneous
205,2122,2013-07-09 00:00:00,38.8025,-123.015967,1.0,B,Missing/Undefined
206,2123,2013-07-27 00:00:00,40.437933,-123.685167,1.0,B,Missing/Undefined
207,2126,2013-07-19 00:00:00,33.9558,-117.243917,40.0,C,Missing/Undefined
208,2127,2013-07-04 00:00:00,33.252866999999995,-117.155617,1.0,B,Missing/Undefined
209,2130,2013-07-31 00:00:00,39.96375,-123.791883,1.0,B,Miscellaneous
210,2133,2013-07-02 00:00:00,38.824317,-121.469733,1.0,B,Miscellaneous
211,2134,2013-07-05 00:00:00,40.34215,-123.770683,5.0,B,Miscellaneous
212,2136,2013-07-26 00:00:00,33.646767,-114.594783,40.0,C,Miscellaneous
213,2137,2013-07-10 00:00:00,33.931783,-117.24465,1.0,B,Missing/Undefined
214,2139,2013-07-09 00:00:00,33.77695,-117.231383,1.0,B,Missing/Undefined
215,2140,2013-07-05 00:00:00,38.493667,-121.091217,1.0,B,Missing/Undefined
216,2141,2013-07-02 00:00:00,33.5192,-117.30845,1.0,B,Miscellaneous
217,2144,2013-07-16 00:00:00,35.664117,-120.691917,2.0,B,Missing/Undefined
218,2145,2013-07-20 00:00:00,37.648317,-120.2947,2.0,B,Missing/Undefined
219,2146,2013-07-27 00:00:00,38.137583,-120.505867,2.0,B,Miscellaneous
220,2147,2013-07-28 00:00:00,40.93465,-121.56885,2.0,B,Missing/Undefined
221,2148,2013-07-11 00:00:00,37.0593,-119.919317,2.0,B,Miscellaneous
222,2151,2013-07-17 00:00:00,40.440733,-122.282633,0.25,A,Missing/Undefined
223,2152,2013-07-19 00:00:00,37.989083,-120.478633,0.25,A,Miscellaneous
224,2156,2013-07-25 00:00:00,37.048467,-122.00765,0.25,A,Miscellaneous
225,2157,2013-07-19 00:00:00,40.53545,-122.3448,0.25,A,Miscellaneous
226,2158,2013-07-05 00:00:00,40.47275,-120.546,0.25,A,Missing/Undefined
227,2159,2013-07-25 00:00:00,37.7566,-122.05115,0.25,A,Miscellaneous
228,2161,2013-07-28 00:00:00,37.6423,-120.288267,0.13,A,Miscellaneous
229,2162,2013-07-03 00:00:00,33.7165,-116.171,0.12,A,Miscellaneous
230,2165,2013-07-04 00:00:00,38.240067,-120.947217,0.4,B,Miscellaneous
231,2167,2013-07-30 00:00:00,37.16785,-122.03935,0.4,B,Miscellaneous
232,2168,2013-07-13 00:00:00,38.801583,-120.742667,0.4,B,Miscellaneous
233,2169,2013-07-04 00:00:00,36.9429,-121.740433,0.4,B,Miscellaneous
234,2171,2013-07-14 00:00:00,40.701833,-122.32495,0.33,B,Miscellaneous
235,2175,2013-07-12 00:00:00,39.54075,-121.519083,6.4,B,Missing/Undefined
236,2176,2013-07-14 00:00:00,37.915133,-120.6239,6.4,B,Missing/Undefined
237,2178,2013-07-16 00:00:00,38.942833,-122.770833,0.65,B,Missing/Undefined
238,2183,2013-07-31 00:00:00,34.464483,-117.55515,0.5,B,Missing/Undefined
239,2192,2013-07-14 00:00:00,40.02795,-122.099867,1.0,B,Miscellaneous
240,2193,2013-07-02 00:00:00,38.809433,-123.006917,1.0,B,Missing/Undefined
241,2195,2013-07-20 00:00:00,39.149583,-121.601017,1.0,B,Missing/Undefined
242,2197,2013-07-03 00:00:00,36.713767,-119.353517,16.0,C,Missing/Undefined
243,2199,2013-07-31 00:00:00,40.366967,-122.208983,1.0,B,Missing/Undefined
244,2200,2013-07-04 00:00:00,37.041633,-121.542217,1.0,B,Missing/Undefined
245,2203,2013-07-16 00:00:00,38.8025,-123.015967,1.0,B,Missing/Undefined
246,2204,2013-07-15 00:00:00,38.83905,-121.307367,1.0,B,Missing/Undefined
247,2206,2013-07-04 00:00:00,36.430667,-121.318167,0.1,A,Miscellaneous
248,2211,2013-07-03 00:00:00,41.64885,-122.656333,0.1,A,Miscellaneous
249,2214,2013-07-22 00:00:00,40.68641,-122.1433,0.1,A,Missing/Undefined
250,2215,2013-07-07 00:00:00,33.598883,-114.645283,0.05,A,Debris Burning
251,2218,2013-07-16 00:00:00,33.7064,-117.119733,0.05,A,Miscellaneous
252,2219,2013-07-04 00:00:00,41.664833,-122.668583,0.05,A,Miscellaneous
253,2220,2013-07-15 00:00:00,37.360667,-120.549417,0.25,A,Missing/Undefined
254,2222,2013-07-04 00:00:00,33.430667,-117.145733,0.02,A,Miscellaneous
255,2223,2013-07-02 00:00:00,33.748797,-117.933203,0.02,A,Missing/Undefined
256,2224,2013-07-09 00:00:00,39.23205,-121.0732,0.02,A,Missing/Undefined
257,2225,2013-07-08 00:00:00,33.183533000000004,-117.117867,0.3,B,Missing/Undefined
258,2230,2013-07-07 00:00:00,38.45835,-120.4847,0.2,A,Miscellaneous
259,2231,2013-07-16 00:00:00,37.403783,-120.585733,0.2,A,Missing/Undefined
