DATE,LAT,LON,T2M_MAX,T2M_MIN,T2M,PRECTOT,RH2M,PS,WS10M_MIN,WS10M_MAX,WS10M,FIRE,FIRE_SIZE,FIRE_SIZE_CLASS
7/14/2015,32.25,-114.25,40.9,24.64,32.51,0,32.69,99.1,1.28,7.04,3.66,NOFIRE,0,NA
7/15/2013,32.25,-114.25,42.89,27.21,35.16,0.07,35.36,99,1.5,6.72,4.17,NOFIRE,0,NA
7/15/2014,32.25,-114.25,40.18,24.94,32.5,0,36.64,99.63,2.04,5.67,3.7,NOFIRE,0,NA
7/15/2015,32.25,-114.25,38.48,24.37,31.65,0.01,38.14,99.28,1.39,7.81,4.78,NOFIRE,0,NA
7/16/2013,32.25,-114.25,41.11,27.95,34.31,0,31.41,99.25,0.49,5.67,3.08,NOFIRE,0,NA
7/16/2014,32.25,-114.25,42.08,24.84,33.44,0,21.56,99.41,1.42,4.41,2.73,NOFIRE,0,NA
7/16/2015,32.25,-114.25,41.22,24.49,32.88,0.01,36.52,99.29,0.39,6.26,3.58,NOFIRE,0,NA
7/17/2013,32.25,-114.25,41.34,28.84,35.2,1.52,34.4,99.51,0.95,2.15,1.63,NOFIRE,0,NA
7/17/2014,32.25,-114.25,40.84,23.69,32.37,0,19.9,99.39,2.64,5.41,3.93,NOFIRE,0,NA
7/17/2015,32.25,-114.25,40.08,26.37,33.32,0.1,46.88,99.23,2.94,8.85,6.57,NOFIRE,0,NA
7/18/2013,32.25,-114.25,42.23,30.13,35.69,0.1,31.88,99.28,0.8,4.5,2.31,NOFIRE,0,NA
7/18/2014,32.25,-114.25,36.94,25.23,30.8,0,35.46,99.5,0.8,6.64,3.03,NOFIRE,0,NA
7/18/2015,32.25,-114.25,36.49,27.77,31.34,2.27,53.45,99.59,2.09,6.76,4.45,NOFIRE,0,NA
7/19/2013,32.25,-114.25,36.19,27.46,31.7,3.84,55.12,99.29,3.57,6.47,5.08,NOFIRE,0,NA
7/19/2014,32.25,-114.25,39.95,26.45,32.59,0,33.18,99.43,1,7.45,4.56,NOFIRE,0,NA
7/19/2015,32.25,-114.25,35.59,26.55,30.96,1.34,53.74,99.88,1.36,4.1,2.75,NOFIRE,0,NA
7/2/2013,32.25,-114.25,40.62,27.8,33.78,0.26,35.04,99.35,1.51,6.77,4.54,NOFIRE,0,NA
7/2/2014,32.25,-114.25,40.47,23.75,31.99,0,37.45,99.2,3.46,7.54,5.64,NOFIRE,0,NA
