,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
98,2013-05-11 00:00:00,37.43166667,-119.4016667,39.5,C,Miscellaneous
99,2013-07-23 00:00:00,40.99527778,-122.69861110000001,0.1,A,Miscellaneous
100,2013-05-26 00:00:00,39.635,-120.43555559999999,1.1,B,Debris Burning
101,2013-06-07 00:00:00,33.60388889,-117.4561111,1.6,B,Miscellaneous
102,2013-07-24 00:00:00,37.13083333,-119.39638889999999,0.5,B,Miscellaneous
103,2013-10-04 00:00:00,32.72805556,-116.54111110000001,0.1,A,Debris Burning
104,2013-02-05 00:00:00,32.76305556,-116.6758333,0.25,A,Debris Burning
105,2013-04-27 00:00:00,39.99277778,-121.77305559999999,6.9,B,Debris Burning
106,2013-08-19 00:00:00,35.02083333,-118.2786111,64.0,C,Miscellaneous
107,2013-08-06 00:00:00,34.12416667,-117.7427778,0.1,A,Miscellaneous
108,2013-07-14 00:00:00,40.89555556,-123.5672222,0.1,A,Miscellaneous
109,2013-06-29 00:00:00,40.58527778,-123.2686111,0.01,A,Debris Burning
110,2013-11-25 00:00:00,34.60277778,-118.7102778,0.1,A,Miscellaneous
111,2013-05-03 00:00:00,34.42222222,-118.42944440000001,0.25,A,Miscellaneous
112,2013-08-03 00:00:00,38.98194444,-120.78638889999999,11.1,C,Miscellaneous
113,2013-09-25 00:00:00,35.57277778,-118.56055559999999,0.5,B,Miscellaneous
114,2013-04-28 00:00:00,34.68444444,-119.3125,0.12,A,Miscellaneous
115,2013-01-18 00:00:00,37.60555556,-119.875,5.6,B,Miscellaneous
116,2013-07-08 00:00:00,40.40888889,-123.24361110000001,0.1,A,Miscellaneous
117,2013-09-07 00:00:00,34.13305556,-117.79416670000002,0.25,A,Miscellaneous
118,2013-11-30 00:00:00,34.45,-117.81805559999998,0.1,A,Miscellaneous
119,2013-08-22 00:00:00,39.32833333,-120.5672222,0.1,A,Miscellaneous
120,2013-09-26 00:00:00,34.18888889,-116.72388889999999,0.01,A,Miscellaneous
121,2013-06-07 00:00:00,38.80666667,-119.91944440000002,0.1,A,Miscellaneous
122,2013-06-28 00:00:00,34.51555556,-118.6525,12.0,C,Miscellaneous
123,2013-05-04 00:00:00,35.17083333,-120.1438889,51.0,C,Miscellaneous
124,2013-05-27 00:00:00,34.44472222,-118.65777779999999,4.0,B,Miscellaneous
125,2013-08-26 00:00:00,41.89444444,-121.99833329999998,0.5,B,Miscellaneous
126,2013-09-08 00:00:00,32.71305556,-116.74722220000001,263.0,D,Miscellaneous
127,2013-06-20 00:00:00,34.14277778,-117.93583329999998,2.0,B,Miscellaneous
128,2013-07-23 00:00:00,39.67194444,-120.2325,0.1,A,Miscellaneous
129,2013-07-21 00:00:00,34.30666667,-118.3772222,0.25,A,Miscellaneous
130,2013-03-30 00:00:00,34.505,-118.24583329999999,0.1,A,Miscellaneous
131,2013-07-20 00:00:00,34.29583333,-117.475,0.1,A,Miscellaneous
132,2013-04-26 00:00:00,39.73666667,-120.55555559999999,0.1,A,Debris Burning
133,2013-10-22 00:00:00,39.27055556,-120.89055559999998,0.1,A,Miscellaneous
134,2013-09-22 00:00:00,34.50416667,-119.80694440000002,0.13,A,Miscellaneous
135,2013-07-13 00:00:00,40.85083333,-122.85027779999999,0.1,A,Miscellaneous
136,2013-07-07 00:00:00,34.31472222,-118.3827778,0.1,A,Miscellaneous
137,2013-09-03 00:00:00,38.89583333,-120.5702778,0.1,A,Miscellaneous
138,2013-05-14 00:00:00,34.50111111,-119.34444440000001,0.1,A,Miscellaneous
139,2013-04-14 00:00:00,35.6775,-118.3775,8.0,B,Miscellaneous
140,2013-05-24 00:00:00,39.35972222,-120.80388889999999,0.1,A,Debris Burning
141,2013-11-24 00:00:00,34.15916667,-117.9186111,0.5,B,Miscellaneous
142,2013-08-03 00:00:00,40.15388889,-120.93166670000001,0.1,A,Miscellaneous
143,2013-05-25 00:00:00,40.13305556,-120.9425,0.1,A,Debris Burning
144,2013-10-04 00:00:00,34.44333333,-118.59694440000001,0.1,A,Miscellaneous
145,2013-08-13 00:00:00,34.22833333,-117.2988889,0.01,A,Miscellaneous
146,2013-07-10 00:00:00,40.6475,-121.46,0.2,A,Miscellaneous
147,2013-07-30 00:00:00,40.42444444,-123.4988889,2.0,B,Miscellaneous
148,2013-08-02 00:00:00,34.16916667,-117.84444440000001,0.1,A,Miscellaneous
149,2013-12-02 00:00:00,39.56361111,-120.37777779999999,1.0,B,Debris Burning
150,2013-06-15 00:00:00,37.32083333,-119.6175,0.1,A,Debris Burning
151,2013-04-22 00:00:00,39.10027778,-120.71555559999999,0.28,B,Debris Burning
152,2013-10-22 00:00:00,38.19416667,-120.04111110000001,0.5,B,Miscellaneous
153,2013-12-18 00:00:00,41.70166667,-122.90694440000001,0.02,A,Debris Burning
154,2013-10-20 00:00:00,40.99388889,-122.41138889999999,0.25,A,Miscellaneous
155,2013-10-06 00:00:00,33.76527778,-117.6597222,50.0,C,Debris Burning
156,2013-07-31 00:00:00,41.31027778,-123.20444440000001,12365.0,G,Miscellaneous
157,2013-11-08 00:00:00,39.43277778,-120.075,0.01,A,Miscellaneous
158,2013-05-16 00:00:00,39.46583333,-120.04722220000001,0.1,A,Miscellaneous
159,2013-08-06 00:00:00,37.16111111,-119.185,0.2,A,Miscellaneous
